account_tax_repartition_line_id,account_account_tag_id
2,5
4,4
6,5
8,4
10,7
12,6
14,9
16,8
18,9
20,8
22,11
24,10
26,11
28,10
30,13
32,12
34,13
36,12
38,15
40,14
42,15
44,14
46,17
48,16
50,17
52,16
54,19
56,18
58,19
60,18
62,21
64,20
66,21
68,20
70,23
72,22
74,23
76,22
78,25
80,24
82,25
84,24
86,27
88,26
90,29
92,28
94,31
96,30
98,31
100,30
102,34
104,35
106,34
108,35
110,36
112,37
114,36
116,37
118,38
120,39
122,38
124,39
126,40
128,41
130,40
132,41
134,42
136,43
138,44
140,45
142,46
144,47
146,46
148,47
150,46
152,47
154,48
156,49
158,48
160,49
162,48
164,49
166,50
168,51
170,50
172,51
174,52
176,53
178,54
180,55
182,54
184,55
186,56
188,57
190,58
192,59
194,58
196,59
198,60
200,61
202,60
204,61
206,62
208,63
210,62
212,63
214,62
216,63
218,64
220,65
222,64
224,65
226,66
228,67
230,66
232,67
234,68
236,69
238,68
240,69
242,70
244,71
246,70
248,71
250,70
252,71
254,72
256,73
258,72
260,73
262,74
264,75
266,74
268,75
270,76
272,77
274,76
276,77
278,80
280,81
282,80
284,81
286,78
288,79
290,78
292,79
294,82
296,83
298,82
300,83
302,82
304,83
306,84
308,85
310,84
312,85
314,86
316,87
318,86
320,87
322,86
324,87
326,88
328,89
330,88
332,89
334,90
336,91
338,92
340,93
342,92
344,93
346,92
348,93
350,92
352,93
353,103
354,124
355,103
356,124
357,103
358,124
359,103
360,124
361,103
362,124
363,103
364,124
365,107
367,107
369,108
371,108
373,110
375,110
377,109
379,109
381,96
382,117
383,96
384,117
385,96
386,117
387,96
388,117
389,96
390,117
391,96
392,117
393,96
394,117
395,96
396,117
397,96
398,117
399,96
400,117
401,96
402,117
403,96
404,117
405,94
406,115
407,94
408,115
409,95
410,116
411,95
412,116
413,94
414,115
415,94
416,115
417,95
418,116
419,95
420,116
421,94
422,115
423,94
424,115
425,95
426,116
427,95
428,116
429,94
430,115
431,94
432,115
433,95
434,116
435,95
436,116
437,94
438,115
439,94
440,115
441,95
442,116
443,95
444,116
445,94
446,115
447,94
448,115
449,95
450,116
451,95
452,116
453,103
454,124
455,103
456,124
457,103
458,124
459,103
460,124
461,103
462,124
463,103
464,124
465,107
467,107
469,108
471,108
473,109
475,109
477,96
478,117
479,96
480,117
481,96
482,117
483,96
484,117
485,96
486,117
487,96
488,117
489,96
490,117
491,96
492,117
493,96
494,117
495,96
496,117
497,96
498,117
499,96
500,117
501,94
502,115
503,94
504,115
505,95
506,116
507,95
508,116
509,94
510,115
511,94
512,115
513,95
514,116
515,95
516,116
517,94
518,115
519,94
520,115
521,95
522,116
523,95
524,116
525,94
526,115
527,94
528,115
529,95
530,116
531,95
532,116
533,94
534,115
535,94
536,115
537,95
538,116
539,95
540,116
541,94
542,115
543,94
544,115
545,95
546,116
547,95
548,116
549,114
551,137
552,114
554,137
555,114
557,137
558,114
560,137
561,114
563,137
564,114
566,137
567,113
569,130
570,113
572,130
573,113
575,130
576,113
578,130
579,113
581,130
582,113
584,130
585,113
587,130
588,113
590,130
591,113
593,130
594,113
596,130
597,113
599,130
600,113
602,130
603,111
605,128
606,111
608,128
609,112
611,129
612,112
614,129
615,111
617,128
618,111
620,128
621,112
623,129
624,112
626,129
627,111
629,128
630,111
632,128
633,112
635,129
636,112
638,129
639,111
641,128
642,111
644,128
645,112
647,129
648,112
650,129
651,111
653,128
654,111
656,128
657,112
659,129
660,112
662,129
663,111
665,128
666,111
668,128
669,112
671,129
672,112
674,129
