id,definition_id,user_id,line_id,challenge_id,remind_update_delay,create_uid,write_uid,state,start_date,end_date,last_update,to_update,closed,create_date,write_date,target_goal,current
1,1,2,1,1,,1,1,reached,2024-04-18,,2024-04-18,,,2024-04-18 07:41:59.645004,2024-04-18 07:41:59.645004,1,1
2,3,2,2,2,,1,1,reached,2024-04-18,,2024-04-18,,,2024-04-18 07:41:59.701979,2024-04-18 07:41:59.701979,1,1
4,4,2,4,2,,1,1,inprogress,2024-04-18,,,,,2024-04-18 07:41:59.701979,2024-04-18 07:41:59.701979,1,0
3,2,2,3,2,,1,1,reached,2024-04-18,,2024-04-18,,,2024-04-18 07:41:59.701979,2024-04-18 07:41:59.733074,0,0
5,7,2,7,5,,1,1,inprogress,2024-04-19,,,,,2024-04-19 07:41:28.684844,2024-04-19 07:41:28.684844,1,0
6,6,2,6,4,,1,1,inprogress,2024-04-19,,,,,2024-04-19 07:41:28.73914,2024-04-19 07:41:28.73914,1,0
7,8,2,8,6,,1,1,inprogress,2024-04-19,,,,,2024-04-19 07:41:28.757075,2024-04-19 07:41:28.757075,1,0
8,9,2,9,7,,1,1,reached,2024-04-19,,2024-04-19,,,2024-04-19 07:41:28.779158,2024-04-19 07:41:28.779158,1,1
9,5,2,5,3,,1,1,reached,2024-04-19,,2024-04-19,,,2024-04-19 07:41:28.801033,2024-04-19 07:41:28.801033,1,1
10,1,9,1,1,,1,1,reached,2024-04-20,,2024-04-20,,,2024-04-20 07:41:20.101874,2024-04-20 07:41:20.101874,1,1
11,3,9,2,2,,1,1,reached,2024-04-20,,2024-04-20,,,2024-04-20 07:41:20.146415,2024-04-20 07:41:20.146415,1,1
12,2,9,3,2,,1,1,reached,2024-04-20,,2024-04-20,,,2024-04-20 07:41:20.146415,2024-04-20 07:41:20.165464,0,0
13,4,9,4,2,,1,1,reached,2024-04-20,,2024-04-20,,,2024-04-20 07:41:20.146415,2024-04-20 07:41:20.176659,1,3
14,1,11,1,1,,1,1,reached,2024-04-22,,2024-04-22,,,2024-04-22 07:41:13.345815,2024-04-22 07:41:13.345815,1,1
15,1,10,1,1,,1,1,reached,2024-04-23,,2024-04-23,,,2024-04-23 07:41:14.103399,2024-04-23 07:41:14.103399,1,1
16,1,12,1,1,,1,1,reached,2024-04-23,,2024-04-23,,,2024-04-23 07:41:14.103399,2024-04-23 07:41:14.103399,1,1
17,1,13,1,1,,1,1,reached,2024-04-23,,2024-04-23,,,2024-04-23 07:41:14.103399,2024-04-23 07:41:14.103399,1,1
18,3,10,2,2,,1,1,reached,2024-04-23,,2024-04-23,,,2024-04-23 07:41:14.154422,2024-04-23 07:41:14.154422,1,1
19,3,12,2,2,,1,1,reached,2024-04-23,,2024-04-23,,,2024-04-23 07:41:14.154422,2024-04-23 07:41:14.154422,1,1
20,2,10,3,2,,1,1,reached,2024-04-23,,2024-04-23,,,2024-04-23 07:41:14.154422,2024-04-23 07:41:14.178438,0,0
21,2,12,3,2,,1,1,reached,2024-04-23,,2024-04-23,,,2024-04-23 07:41:14.154422,2024-04-23 07:41:14.178438,0,0
22,4,10,4,2,,1,1,reached,2024-04-23,,2024-04-23,,,2024-04-23 07:41:14.154422,2024-04-23 07:41:14.193459,1,7
23,4,12,4,2,,1,1,reached,2024-04-23,,2024-04-23,,,2024-04-23 07:41:14.154422,2024-04-23 07:41:14.193459,1,7
24,1,17,1,1,,1,1,reached,2024-04-24,,2024-04-24,,,2024-04-24 07:41:36.104026,2024-04-24 07:41:36.104026,1,1
