id,model_id,parent_id,parent_field_id
1,20,19,
2,22,19,
3,23,19,
4,24,19,
5,26,19,
6,27,19,
7,43,42,
8,44,42,
9,45,42,
10,46,42,
11,47,42,
12,48,42,
13,49,42,
14,50,42,
15,51,42,
16,52,42,
17,53,42,
18,53,52,
19,54,42,
20,55,42,
21,56,42,
22,57,42,
23,58,42,
24,59,42,
25,60,42,
26,60,49,
27,61,42,
28,61,49,
29,77,76,
30,85,76,
31,85,82,
32,85,77,
33,90,89,
34,97,85,1094
35,119,102,
36,153,152,
37,153,148,1729
38,155,154,
39,157,156,
40,158,156,
41,159,156,
42,168,156,
43,177,176,2053
44,179,154,
45,179,161,
46,203,156,
47,206,76,
48,206,77,
49,85,156,
50,85,151,
51,85,157,
52,213,154,
53,213,155,
54,162,346,
55,39,346,
56,348,156,
57,349,156,
58,356,76,
59,356,156,
60,356,355,
61,356,159,
62,356,151,
63,356,139,
64,356,77,
65,358,355,
66,359,156,
67,361,156,
68,85,349,
69,374,154,
70,374,161,
71,398,396,
72,399,396,
73,406,405,
74,406,404,
75,410,405,
76,410,404,
77,410,406,
78,410,407,
79,410,16,3673
80,16,402,
81,85,405,
82,85,404,
83,85,406,
84,421,405,
85,421,404,
86,421,406,
87,424,405,
88,424,404,
89,424,406,
90,424,407,
91,424,16,3952
92,427,156,
93,429,156,
94,430,156,
95,430,151,
96,430,85,4093
97,432,156,
98,433,156,
99,433,151,
100,433,85,4285
101,434,156,
102,435,156,
103,445,156,
104,448,447,
105,449,156,
106,449,76,
107,451,156,
108,455,76,
109,459,143,
110,463,156,
111,465,156,
112,465,151,
113,468,156,
114,468,151,
115,470,154,
116,470,155,
117,472,156,
118,472,157,
119,476,154,
120,476,156,
121,476,151,
122,476,145,
123,490,156,
124,490,366,
125,490,158,
126,490,151,
127,490,463,
128,490,160,
129,491,156,
130,492,156,
131,492,158,
132,492,151,
133,493,156,
134,493,152,
135,493,148,5875
136,493,366,
137,493,153,
138,493,464,
139,493,151,
140,502,367,
141,504,156,
142,504,151,
143,514,156,
144,514,151,
145,514,76,
146,515,156,
147,515,151,
148,515,514,6341
149,521,28,6459
150,523,156,
151,523,151,
152,537,156,
153,538,156,
154,541,156,
155,541,151,
156,545,156,
157,545,151,
158,550,549,
159,88,156,
160,88,151,
161,564,156,
162,568,156,
163,568,366,
164,568,152,
165,568,151,
166,570,156,
167,573,447,
168,574,156,
169,577,156,
170,577,366,
171,577,159,
172,577,151,
173,577,558,
174,578,447,
175,581,156,
176,581,159,
177,581,151,
178,581,577,7983
179,585,577,8173
180,94,156,
181,601,88,8714
182,609,608,
183,612,76,
184,612,145,
185,617,464,
186,203,463,
187,623,622,
188,624,622,
189,625,622,
190,625,624,
191,626,622,
192,626,624,
193,626,625,
194,627,622,
195,627,624,
196,627,625,
197,627,626,
198,628,622,
199,628,624,
200,628,625,
201,628,626,
202,629,622,
203,629,624,
204,630,622,
205,630,624,
206,630,625,
207,630,626,
208,631,622,
209,631,624,
210,631,625,
211,631,626,
212,617,405,
213,85,402,
214,577,143,
215,633,156,
216,633,366,
217,633,519,
218,633,151,
219,633,143,
220,634,447,
221,638,557,
222,640,154,
223,640,155,
224,541,405,
225,541,404,
226,541,402,
227,541,406,
228,541,403,
229,541,407,
230,547,405,
231,547,404,
232,547,406,
233,548,405,
234,548,404,
235,548,406,
236,449,405,
237,656,156,
238,656,76,
239,656,402,
240,656,405,
241,656,407,
242,661,405,
243,661,404,
244,661,156,
245,661,463,
246,661,151,
247,661,76,
248,661,403,
249,661,402,
250,661,406,
251,661,407,
252,662,405,
253,665,154,
254,665,155,
255,646,405,
256,646,404,
257,646,406,
258,672,76,
259,673,402,
260,673,404,
261,673,407,
262,673,76,
263,526,404,
264,514,405,
265,514,404,
266,514,463,
267,514,402,
268,514,406,
269,514,407,
270,681,156,
271,681,680,10815
272,682,156,
273,685,156,
274,690,156,
275,690,151,
276,691,156,
277,698,156,
278,706,156,
279,707,156,
280,708,156,
281,709,156,
282,712,156,
283,715,156,
284,719,156,
285,722,156,
286,734,156,
287,735,156,
288,736,156,
289,738,156,
