payment_method_id,res_country_id
1,176
2,181
2,233
3,38
4,233
4,38
5,13
5,170
5,233
5,38
6,165
6,20
6,57
6,12
6,70
7,100
9,94
10,75
11,20
11,55
11,59
11,75
11,99
11,101
11,109
11,133
11,183
11,68
11,231
11,233
12,157
12,197
13,75
14,231
15,176
16,109
17,20
18,217
20,100
21,217
22,100
25,13
26,20
27,23
28,104
29,176
30,165
30,20
31,68
32,178
33,100
34,31
35,157
36,176
37,100
38,100
39,100
41,233
42,176
43,176
44,231
45,100
46,20
47,100
48,217
49,157
50,104
51,197
52,12
53,75
54,94
55,157
56,20
57,176
58,57
59,100
60,157
60,197
60,176
61,217
62,241
63,197
63,157
63,94
63,217
64,13
64,170
64,231
64,101
65,165
66,165
67,100
68,48
69,121
70,217
71,20
72,13
72,12
72,20
72,38
72,56
72,59
72,70
72,75
72,57
72,88
72,101
72,109
72,165
72,170
72,166
72,178
72,183
72,68
72,196
72,43
72,231
72,233
73,57
73,165
73,196
73,43
74,13
74,12
74,38
74,56
74,70
74,75
74,57
74,88
74,101
74,109
74,165
74,170
74,166
74,183
74,68
74,196
74,231
74,233
75,122
76,100
77,217
78,113
78,227
78,217
79,100
80,75
81,75
82,192
82,2
83,100
84,176
85,100
86,183
87,80
87,47
87,44
87,144
87,204
87,230
87,191
87,248
88,59
88,70
89,241
90,114
91,183
92,109
93,241
94,121
95,104
96,94
97,56
98,104
99,201
100,217
101,231
102,100
103,38
104,197
104,113
104,157
104,94
104,227
104,217
105,113
106,13
106,170
107,75
108,94
109,197
111,113
112,12
112,13
112,20
112,31
112,38
112,97
112,55
112,56
112,59
112,70
112,75
112,78
112,57
112,81
112,99
112,108
112,101
112,109
112,122
112,134
112,128
112,132
112,133
112,152
112,156
112,138
112,139
112,165
112,170
112,166
112,185
112,173
112,178
112,183
112,188
112,192
112,189
112,201
112,199
112,68
112,196
112,43
112,224
112,2
112,231
112,233
112,234
113,104
114,70
115,178
116,31
117,13
117,170
118,109
119,94
120,217
121,49
122,178
123,100
124,217
125,12
125,57
125,165
125,43
126,231
128,217
129,12
129,20
129,55
129,64
129,70
129,75
129,57
129,88
129,101
129,109
129,134
129,132
129,133
129,152
129,165
129,183
129,201
129,199
129,68
129,43
129,56
129,231
129,108
129,99
129,188
129,196
129,97
129,166
129,22
130,197
131,100
131,176
132,57
132,12
132,20
132,165
132,68
132,43
132,178
132,109
132,231
133,196
134,241
135,176
136,48
137,241
138,165
139,217
140,121
141,157
142,217
143,12
143,57
143,59
143,64
143,68
143,70
143,231
143,134
143,132
143,165
143,166
143,196
144,217
145,43
148,197
149,104
151,233
152,241
153,166
155,104
156,59
156,70
156,166
156,196
158,94
159,241
160,13
160,38
160,170
160,233
