payment_method_id,res_currency_id
1,36
2,1
3,3
4,3
4,1
5,3
5,1
5,21
5,35
6,125
7,12
9,24
10,125
11,125
11,21
11,143
11,10
11,24
11,25
11,35
11,14
11,38
11,1
12,34
12,37
13,125
14,143
15,36
16,125
17,125
18,133
20,12
21,133
22,12
24,20
24,120
25,21
26,125
27,54
28,20
29,36
30,125
31,125
32,17
33,12
34,5
35,34
36,36
37,12
38,12
39,12
41,1
42,36
43,36
44,143
45,12
46,125
47,12
48,133
49,34
50,20
51,37
52,125
53,125
54,24
55,34
56,125
57,36
58,125
59,12
60,37
60,34
60,36
61,133
62,23
63,37
63,34
63,24
63,133
64,21
64,35
64,143
64,125
65,125
66,125
67,12
68,6
69,32
70,133
71,125
72,21
72,125
72,3
72,9
72,10
72,35
72,14
72,17
72,18
72,4
72,143
72,1
73,125
73,18
73,4
74,21
74,125
74,3
74,9
74,35
74,14
74,18
74,143
74,1
75,93
76,12
77,133
78,25
78,136
78,133
79,12
80,125
80,143
81,125
82,150
83,12
84,36
85,12
86,125
87,112
87,42
87,41
87,43
87,154
87,123
88,125
88,10
88,18
88,14
89,23
90,92
91,125
92,125
93,23
94,32
95,20
96,24
97,9
98,20
99,125
100,133
101,143
102,12
103,3
104,37
104,34
104,25
104,24
104,133
104,136
105,25
106,21
106,35
107,125
108,24
109,37
111,25
112,125
112,21
112,5
112,3
112,9
112,10
112,80
112,81
112,11
112,85
112,93
112,4
112,33
112,107
112,35
112,14
112,157
112,156
112,17
112,28
112,150
112,149
112,18
112,31
112,128
112,143
112,1
112,46
113,20
114,125
115,17
116,5
117,21
117,35
118,125
119,24
120,133
121,8
122,125
122,17
123,12
124,133
125,125
125,4
126,143
128,133
129,125
130,37
131,12
132,125
132,4
133,18
134,23
135,36
136,6
137,23
138,125
139,133
140,32
141,34
142,133
143,143
143,10
143,18
143,14
143,125
143,9
144,133
145,4
148,37
149,20
151,1
152,23
153,14
154,125
154,143
154,17
154,10
154,14
154,18
154,4
154,1
155,20
156,10
156,125
156,14
156,18
157,21
157,125
157,3
157,6
157,24
157,25
157,35
157,143
157,1
157,37
158,24
159,23
160,21
160,3
160,35
160,1
